case_number, has_facts_header
2023_SGHC_151,True
2023_SGHC_154,True
2023_SGHC_152,True
2023_SGHC_149,True
2023_SGHCF_26,True
2023_SGHCI_8,False
2023_SGHC_146,False
2023_SGHC_150,False
2023_SGHC_147,False
2023_SGHC_143,False
2023_SGHC_144,True
2023_SGHC_148,True
2023_SGHC_142,True
2023_SGCA_15,False
2023_SGHC_145,False
2023_SGHC_141,True
2023_SGHCA_19,False
2023_SGHC_138,True
2023_SGHCF_25,False
2023_SGHC_137,True
2023_SGHC_140,True
2023_SGHC_136,True
2023_SGHC_139,True
2023_SGHCF_24,False
2023_SGHC_135,False
2023_SGHC_132,True
2023_SGHC_121,True
2023_SGHC_134,True
2023_SGHC_130,True
2023_SGHC_133,False
2023_SGHCA_18,True
2023_SGHC_131,True
2023_SGHC_128,True
2023_SGHC_129,True
2023_SGHC_122,True
2023_SGHC_124,True
2023_SGHC_118,True
2023_SGHC_123,True
2023_SGHC_125,True
2023_SGHC_126,True
2023_SGHC_117,True
2023_SGHCA_17,True
2023_SGHC_120,True
2023_SGHC_119,True
2023_SGHC_115,True
2023_SGHC_116,True
2023_SGHCI_6,True
2023_SGHCR_4,True
2023_SGHC_114,True
2023_SGHCA_15,True
2023_SGHC_113,False
2023_SGHCA_16,False
2023_SGCA_14,True
2023_SGHCR_3,True
2023_SGHCA_14,True
2023_SGHC_111,False
2023_SGHC_112,False
2023_SGCA_12,False
2023_SGCA_13,True
2023_SGHC_108,True
2023_SGHCI_5,True
2023_SGHC_110,True
2023_SGHCF_23,False
2023_SGHC_107,True
2023_SGHC_109,True
2023_SGHCF_22,False
2023_SGHC_105,True
2023_SGHC_104,True
2023_SGHC_103,False
2023_SGHC_106,True
2023_SGHC_102,True
2023_SGHC_101,True
2023_SGHC_98,True
2023_SGHC_100,False
2023_SGCAI_3,True
2023_SGHC_96,False
2023_SGHC_95,True
2023_SGHC_99,True
2023_SGHC_97,True
2023_SGHCA_13,True
2023_SGHC_93,True
2023_SGHC_94,True
2023_SGHCF_21,False
2023_SGHC_92,True
2023_SGHCF_20,False
2023_SGHCR_2,True
2023_SGHC_89,True
2023_SGHC_90,True
2023_SGHC_91,True
2023_SGHC_87,True
2023_SGHC_88,True
2023_SGHC_86,True
2023_SGHC_85,False
2023_SGHCA_12,True
2023_SGHC_84,True
2023_SGHC_83,False
2023_SGHCA_11,True
2023_SGHC_82,True
2023_SGHCF_18,False
2023_SGHCF_19,False
2023_SGHC_68,False
2023_SGHC_76,True
2023_SGHC_77,True
2023_SGHC_78,True
2023_SGHC_80,True
2023_SGHC_79,True
2023_SGHC_81,True
2023_SGHC_75,True
2023_SGHC_74,True
2023_SGHC_70,True
2023_SGHC_73,True
2023_SGHC_72,True
2023_SGHC_71,True
2023_SGHCF_16,False
2023_SGHCF_17,False
2023_SGCA_11,False
2023_SGHC_67,True
2023_SGHCF_15,False
2023_SGHCA_10,True
2023_SGHC_69,True
2023_SGHC_66,True
2023_SGHCF_14,False
2023_SGHC_65,True
2023_SGHC_64,False
2023_SGHC_63,True
2023_SGHC_60,False
2023_SGHC_62,True
2023_SGHC_61,True
2023_SGHCF_13,False
2023_SGHC_58,False
2023_SGHC_56,False
2023_SGHC_57,False
2023_SGHC_59,False
2023_SGHC_55,True
2023_SGHCF_12,False
2023_SGHCF_10,True
2023_SGHCF_11,False
2023_SGHC_54,False
2023_SGHC_52,False
2023_SGHCI_4,False
2023_SGCA_10,True
2023_SGHC_53,True
2023_SGHCF_9,True
2023_SGCAI_2,True
2023_SGHC_51,True
2023_SGHCF_8,False
2023_SGHC_50,True
2023_SGHC_47,True
2023_SGCA_9,True
2023_SGHC_48,True
2023_SGHC_49,True
2023_SGHC_46,True
2023_SGHC_43,True
2023_SGHC_45,True
2023_SGHC_44,True
2023_SGHCF_7,False
2023_SGCA_8,True
2023_SGHC_42,True
2023_SGHC_41,True
2023_SGCA_7,True
2023_SGHC_23,True
2023_SGHC_40,True
2023_SGCA_6,True
2023_SGCA_5,True
2023_SGHC_37,True
2023_SGHC_38,True
2023_SGHC_35,True
2023_SGHC_39,True
2023_SGHCF_6,False
2023_SGHC_36,False
2023_SGHC_33,True
2023_SGHC_34,True
2023_SGHC_31,False
2023_SGHCF_5,False
2023_SGHC_32,True
2023_SGHC_29,True
2023_SGCAI_1,True
2023_SGHCA_9,True
2023_SGHC_30,True
2023_SGHC_24,True
2023_SGHCA_8,True
2023_SGHCI_3,False
2023_SGHCF_4,True
2023_SGHC_28,True
2023_SGHC_27,False
2023_SGHCI_2,True
2023_SGHCA_7,True
2023_SGHC_26,False
2023_SGHCA_6,True
2023_SGCA_4,True
2023_SGHC_5,False
2023_SGHCA_5,False
2023_SGHC_25,False
2023_SGHCI_1,True
2023_SGHC_21,False
2023_SGHC_22,True
2023_SGHCA_4,False
2023_SGHCR_1,True
2023_SGHCI_7,True
2023_SGHCA_3,True
2023_SGHCF_3,False
2023_SGHC_18,True
2023_SGHC_20,False
2023_SGHC_19,True
2023_SGHC_16,False
2023_SGCA_3,True
2023_SGHC_15,True
2023_SGHC_17,True
2023_SGHC_13,True
2023_SGHC_14,True
2023_SGHC_12,True
2023_SGHC_10,True
2023_SGHC_11,True
2023_SGHCF_2,False
2023_SGHCF_1,False
2023_SGHC_9,False
2023_SGHCA_2,True
2023_SGCA_2,True
2023_SGHC_7,True
2023_SGHC_8,True
2023_SGHC_3,True
2023_SGHC_4,True
2023_SGHC_6,True
2023_SGCA_1,True
2023_SGHC_2,True
2023_SGHCA_1,True
2023_SGHC_1,True
2022_SGHCF_32,False
2022_SGHC_320,True
2022_SGHCF_31,False
2022_SGHC_319,True
2022_SGHCF_30,False
2022_SGHC_317,True
2022_SGHCA_44,True
2022_SGHC_318,False
2022_SGHC_315,True
2022_SGHC_316,True
2022_SGHCI_17,True
2022_SGHCF_28,False
2022_SGHCF_29,False
2022_SGHC_314,True
2022_SGHC_313,True
2022_SGHC_312,True
2022_SGHC_311,True
2022_SGHC_308,True
2022_SGHC_309,True
2022_SGHC_310,True
2022_SGHC_307,True
2022_SGHCA_43,True
2022_SGHC_306,True
2022_SGHCA_42,True
2022_SGHC_304,True
2022_SGHC_300,True
2022_SGCA_76,True
